Name,Address,City,State,Zip Code,County,Minority Group(s),Contact Name,Contact Phone Number,Contact Fax,Certification Number,Certification Date,Contact Email Address,Website,NAICS Codes(s),Products / Services,Geocoded Location
"AASIM SECURITY AGENCY, INC.",P. O. BOX 67319,BALTIMORE,MD,21215,BALTIMORE CITY,AFRICAN AMERICAN,CYNTHIA MUHAMMAD,4436929378,4432764024,11-560,09/30/2011 12:00:00 AM,AASIMHELP@GMAIL.COM,http://WWW.AASIM-SECURITY.COM,"238990-MBE/DBE/SBE, 541199-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 561110-MBE/DBE/SBE, 561611-MBE/DBE/SBE, 561612-MBE/DBE/SBE, 561720-MBE/DBE/SBE, 561740-MBE/DBE/SBE, 561790-MBE/DBE/SBE",ALL OTHER SPECIALTY TRADE CONTRACTORS SPECIFICALLY CLEANING NEW BUILDINGS INTERIORS DURING AND IMMEDIATELY AFTER CONSTRUCTION ALL OTHER LEGAL SERVICES SPECIFICALLY PROCESS SERVER ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES OFFICE ADMINISTRATIVE SERVICES INVESTIGATION SERVICES SECURITY GUARDS AND PATROL SERVICES JANITORIAL SERVICES CARPET AND UPHOLSTERY CLEANING SERVICES OTHER SERVICES TO BUILDINGS AND DWELLINGS SPECIFICALLY DUCT CLEANING AND LIGHTING MAINTEMAMCE,"P. O. BOX 67319
BALTIMORE, MD 21215
"
"ABACUS BUSINESS ENTERPRISES, LLC",INGLEWOOD PROFESSIONAL CENTER,LARGO,MD,20774,PRINCE GEORGE'S,ASIAN AMERICAN PACIFIC,EDWARD A. POEY,3012157114,8668013542,06-492,12/14/2006 12:00:00 AM,ABACUSBUSINESS@HOTMAIL.COM,,"541219-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 611430-MBE/DBE/SBE",PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING OTHER ACCOUNTING SERVICES FINANCIAL MANAGEMENT CONSULTING SERVICES ACCOUNTING AUDITING AND BOOKKEEPING SERVICES EXCEPT CPAS ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"INGLEWOOD PROFESSIONAL CENTER
LARGO, MD 20774
"
"ABEL PERSONNEL, INC.",P.O. BOX 4038,HARRISBURG,PA,17111,OTHER STATE,FEMALE,DEBORAH ABEL,7175612222,7175610134,14-071,02/14/2014 12:00:00 AM,DABEL@ABELPERSONNEL.COM,http://WWW.ABELPERSONNEL.COM,"561311-MBE/DBE/SBE, 561312-MBE/DBE/SBE, 561320-MBE/DBE/SBE",EMPLOYMENT PLACEMENT AGENCIES EXECUTIVE SEARCH SERVICES TEMPORARY HELP SERVICES,"P.O. BOX 4038
HARRISBURG, PA 17111
"
"ABOVE & BEYOND TRAFFIC COMPANY, LLC",P.O. BOX 620,RIDERWOOD,MD,21139,BALTIMORE,AFRICAN AMERICAN,DARIUS THOMPSON,4435060900,,14-503,09/17/2014 12:00:00 AM,ABOVEANDBEYONDTRAFFIC@GMAIL.COM,,561990-MBE/DBE/SBE,ALL OTHER SUPPORT SERVICES SPECIFICALLY FLAGGING SERVICES,"P.O. BOX 620
RIDERWOOD, MD 21139
"
"ABRAHAMS CONSULTING, LLC",P.O. BOX 10-266,STATEN ISLAND,NY,10301,OTHER STATE,AFRICAN AMERICAN,ANGELA GIBSON,7185247933,8775411938,15-036,02/09/2015 12:00:00 AM,AGIBSON@ABRAHAMSCONSULTING.COM,,"423430-MBE/DBE/SBE, 541512-MBE/DBE/SBE",COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS COMPUTER SYSTEMS DESIGN SERVICES,"P.O. BOX 10-266
STATEN ISLAND, NY 10301
"
"ABSOLUTE SOLUTIONS AND ASSOCIATES, LLC",P. O. BOX 4526,WASHINGTON,DC,20018,OTHER STATE,AFRICAN AMERICAN / FEMALE,PAULA KEYS TILGHMAN,2026309469,8007240163,12-587,11/08/2012 12:00:00 AM,INFO@ABSOLUTESOLUTIONSANDASSOCIATES.COM,http://WWW.ABSOLUTESOLUTIONSANDASSOCIATES.COM,"238320-MBE/DBE/SBE, 423390-MBE/DBE/SBE, 423850-MBE/DBE/SBE, 423990-MBE/DBE/SBE, 424130-MBE/DBE/SBE, 425120-MBE-ONLY, 561720-MBE-ONLY",PAINTING AND WALL COVERING CONTRACTORS OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS SPECIFICALLY BUILDING MATERIALS FIBERGLASS EXCEPT INSULATION ROOFING SIDING MERCHANT WHOLESALERS SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS SPECIFICALLY CAR WASH EQUIPMENT MERCHANT WHOLESALERS JANITORIAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS SPRINKLER SYSTEMS FIRE MERCHANT WHOLESALERS OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS SPECIFICALLY EXTINGUISHERS FIRE MERCHANT WHOLESALERS FIRE EXTINGUISHERS MERCHANT WHOLESALERS FIRE PROTECTION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS GENERAL MERCHANDISE DURABLE GOODS MERCHANT WHOLESALERS INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS EXCLUDING DIAPERS PAPER MERCHANT WHOLESALERS PRESSED AND MOLDED PULP GOODS E G EGG CARTONS SHIPPING SUPPLIES MERCHANT WHOLESALERS WHOLESALE TRADE AGENTS AND BROKERS SPECIFICALLY SUPPLY OF JANITORIAL EQUIPMENT AND SUPPLIES OVERHEAD DOORS AND GATES AND HYDRONICS HVAC PLUMBING ELECTRICAL FIRE PROTECTION LIGHTING AND SAFETY EQUIPMENT AND SUPPLIES JANITORIAL SERVICES SPECIFICALLY RESIDENTIAL AND COMMERCIAL CLEANING SERVICES,"P. O. BOX 4526
WASHINGTON, DC 20018
"
"ABSOLUTE SUPPLY AND SERVICES, LLC",P O BOX 641,LUSBY,MD,20657,CALVERT,AFRICAN AMERICAN / FEMALE,PAULA TILGHMAN,3014406056,8885599693,08-635,11/22/2008 12:00:00 AM,PTILGHMAN@ABSOLUTE-SAS.COM,http://WWW.ABSOLUTE-SAS.COM,"238210-MBE/DBE/SBE, 238220-MBE/DBE/SBE, 423720-MBE/DBE/SBE, 423730-MBE/DBE/SBE, 423990-MBE/DBE/SBE, 425120-MBE/DBE/SBE",ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS SPECIFICALLY LOW VOLTAGE WORK PLUMBING HEATING AND AIR CONDITIONING CONTRACTORS SPECIFICALLY RESIDENTIAL AND COMMERCIAL INSTALLATION MAINTENANCE AND REPAIR SERVICES EXCLUDING VENTILATION AND REFRIGERATION WORK PLUMBING AND HEATING EQUIPMENT AND SUPPLIES HYDRONICS MERCHANT WHOLESALERS WARM AIR HEATING AND AIR CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS WHOLESALE TRADE AGENTS AND BROKERS SPECIFICALLY ELECTRICAL PARTS SUPPLIES,"P O BOX 641
LUSBY, MD 20657
"
"ACCESSIBILITY CONSULTANTS, INC.",P. O. BOX 7745,ARLINGTON,VA,22207,OTHER STATE,ASIAN AMERICAN PACIFIC / FEMALE,VERA ZIMMERMAN,7037656860,,06-396,10/04/2006 12:00:00 AM,VZIMMERMAN@ACCESSIBILITYCONSULTANTS.NET,http://WWW.ACCESSIBILITYCONSULTANTS.NET,541618-MBE/DBE/SBE,OTHER MANAGEMENT CONSULTING SERVICES SPECIFICALLY HANDICAPPED DISABILITY ACCESSIBILITY CONSULTING SERVICES,"P. O. BOX 7745
ARLINGTON, VA 22207
"
"ACCLAIM USA, INC.",P.O. BOX 1295,UPPER MARLBORO,MD,20773,PRINCE GEORGE'S,AFRICAN AMERICAN,"LEGUSTA FLOYD, JR.",3017808849,3017808826,04-395,09/07/2004 12:00:00 AM,LFLOYD@ACCLAIMUSA.COM,http://WWW.ACCLAIMUSA.COM,"238330-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 561210-MBE/DBE/SBE, 561720-MBE/DBE/SBE, 561730-MBE/DBE/SBE, 561790-MBE/DBE/SBE",LANDSCAPING SERVICES SPECIFICALLY LAWN CARE SERVICES SNOW REMOVAL SIDEWALKS AND PARKING LOTS FLOORING CONTRACTORS OTHER SERVICES TO BUILDINGS AND DWELLINGS JANITORIAL SERVICES SPECIFICALLY CUSTODIAL MAINTENANCE BUILDING MAINTENANCE AND CARPET CLEANING MAINTENANCE OTHER SERVICES TO BUILDINGS AND DWELLINGS ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES FACILITIES SUPPORT SERVICES,"P.O. BOX 1295
UPPER MARLBORO, MD 20773
"
"ACCOUNTING & MANAGEMENT ASSOCIATES, LLC",P.O. BOX 10,NEWCOMB,MD,21653,TALBOT,FEMALE,COLLEEN SHEEHAN,4107638400,4107638401,13-249,05/16/2013 12:00:00 AM,ACCTMGMT@ATLANTICBBN.NET,http://WWW.ACCTMANAGEMENT.COM,"541213-MBE/DBE/SBE, 541214-MBE/DBE/SBE, 541219-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 561440-MBE/DBE/SBE",TAX PREPARATION SERVICES PAYROLL SERVICES OTHER ACCOUNTING SERVICES SPECIFICALLY ACCOUNTING EXCEPT CPA TAX PREPARATION AND CONSULTING BOOKKEEPING AND BILLING SERVICES ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY FINANCIAL PLANNING AND BUDGETING BUSINESS AND ASSET MANAGEMENT AND VALUATION SERVICES COLLECTION AGENCIES SPECIFICALLY BILL TAX AND DEBT COLLECTION SERVICES,"P.O. BOX 10
NEWCOMB, MD 21653
"
"ACETHIA, LLC","14011 MOTOR CITY DRIVE, SUITE 750",BETHESDA,MD,20817,MONTGOMERY,AFRICAN AMERICAN,KAYODE TANI-OLU,3017285165,3015700542,16-007,01/07/2016 12:00:00 AM,KTANIOLU@ACETHIA.COM,http://WWW.ACETHIA.COM,"518210-MBE/DBE/SBE, 541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE",DATA PROCESSING HOSTING AND RELATED SERVICES SPECIFICALLY APPLICATION WEB HOSTING AUTOMATED DATA PROCESSNG AND ELECTRONIC DATA PROCESSING CUSTOM COMPUTER PROGRAMMING SERVICES SPECIFICALLY APPLICATIONS SOFTWARE PROGRAMMING COMPUTER PROGRAMMING OR SOFTWARE DEVELOPMENT CUSTOM COMPUTER SYSTEMS DESIGN SERVICES EXCEPT CAD CAE AND CAM SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY DISASTER RECOVERY AND SOFTWARE INSTALLATION SERVICES,"14011 MOTOR CITY DRIVE, SUITE 750
BETHESDA, MD 20817
"
"A-CONNECTION, INC.",5126 MORAVIA PARK DRIVE,BALTIMORE,MD,21206,BALTIMORE,AFRICAN AMERICAN,MOSES L. ASHE,4107104198,4106021298,09-559,09/21/2009 12:00:00 AM,M.ASHE@ACONNECTIONINC.COM,http://WWW.ACONNECTIONINC.COM,"237130-MBE/DBE/SBE, 237990-MBE/DBE/SBE, 238210-MBE/DBE/SBE, 238910-MBE/DBE/SBE, 238990-MBE/DBE/SBE",POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION SPECIFICALLY CABLE LAYING INCLUDING UNDERGROUND FIBER OPTIC CABLE TRANSMISSION LINE CONSTRUCTION OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION SPECIFICALLY UNDERGROUND DRILLING RELATED TO UNDERGROUND CABLE INSTALLATION UTILITY SYSTEM CONSTRUCTION ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS SPECIFICALLY LOW VOLTAGE WIRING INSTALLATION AND PULLING SITE PREPARATION CONTRACTORS SPECIFICALLY EXCAVATION RELATING TO UNDERGROUND CABLE INSTALLATION ALL OTHER SPECIALTY TRADE CONTRACTORS SPECIFICALLY CABLE SLICING EXCEPT ELECTRICAL OR FIBER OPTIC CONCRETE SIDEWALK REMOVAL REPAIR REPLACEMENT CONCRETE BASES FOR POLES INSTALLATION,"5126 MORAVIA PARK DRIVE
BALTIMORE, MD 21206
"
ACORN BUILDING SERVICES CORP.,P.O. BOX 97,SPENCERVILLE,MD,20868,MONTGOMERY,AFRICAN AMERICAN,JAMES C. CRAFTON,3013841643,3013840718,05-404,09/08/2005 12:00:00 AM,JC@ACORNCORPORATION.NET,,"237310-MBE/DBE/SBE, 238320-MBE/DBE/SBE, 238350-MBE/DBE/SBE, 238990-MBE/DBE/SBE, 561720-MBE/DBE/SBE",HIGHWAY STREET AND BRIDGE CONSTRUCTION SPECIFICALLY CONCRETE PAVING PUBLIC SIDEWALKS CURBS AND STREET CUTTERS SIDEWALK PUBLIC CONSTRUCTION PAINTING AND WALL COVERING CONTRACTORS SPECIFICALLY INTERIOR PAINTING FINISH CARPENTRY CONTRACTORS SPECIFICALLY ALUMINUM DOOR AND WINDOW RESIDENTIAL TYPE INSTALLATION DECK CONSTRUCTION RESIDENTIAL TYPE DOOR FOLDING INSTALLATION PREFABRICATED SASH AND DOOR INSTALLATION WINDOW AND DOOR RESIDENTIAL TYPE OF ANY MATERIAL PREFABRICATED INSTALLATION WINDOW INSTALLATION WINDOW METAL FRAME RESIDENTIAL TYPE INSTALLATION WINDOW WOOD INSTALLATION ALL OTHER SPECIALTY TRADE CONTRACTORS SPECIFICALLY CLEANING BUILDING INTERIORS DURING AND IMMEDIATELY AFTER CONSTRUCTION CLEANING NEW BUILDING INTERIORS IMMEDIATELY AFTER CONSTRUCTION CONCRETE PATIO CONSTRUCTION SLAB CONCRETE PAVING RESIDENTIAL DRIVEWAY CURB GUTTER RESIDENTIAL AND COMMERCIAL DRIVEWAY AND PARKING AREA CONCRETE CONCRETE SAWING AND DRILLING PATIO CONSTRUCTION PAVERS BRICK PATIO INSTALLATION SIDEWALK CONSTRUCTION RESIDENTIAL AND COMMERCIAL JANITORIAL SERVICES SPECIFICALLY CARPENTRY WORK CONSTRUCTION CLEAN UP,"P.O. BOX 97
SPENCERVILLE, MD 20868
"
ACT LLC SE,185 B DEFENSE HIGHWAY,ANNAPOLIS,MD,21041,ANNE ARUNDEL,FEMALE,KIMBERLY PARSON,4433985960,4102668444,13-460,10/07/2013 12:00:00 AM,KIMPR13@AOL.COM,,811121-ACDBE-ONLY,AUTOMOTIVE BODY PAINT AND INTERIOR REPAIR AND MAINTENANCE,"185 B DEFENSE HIGHWAY
ANNAPOLIS, MD 21041
"
AD AND C MANAGEMENT COMPANY,P O BOX 883,GREENBELT,MD,20768,PRINCE GEORGE'S,ASIAN AMERICAN SUB-CONTINENT,AMIR AHMAD,3013453344,2404650520,05-387,08/19/2005 12:00:00 AM,ADMIN@ADANDCMANAGEMENT.COM,,"237110-MBE/DBE/SBE, 238910-MBE/DBE/SBE, 484220-MBE/DBE/SBE, 541330-MBE/DBE/SBE",WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION SPECIFICALLY WATER SEWER AND CONDUIT SITE PREPARATION CONTRACTORS SPECIFICALLY CLEARING GRADING BACKFILL AND EXCAVATION FOR PIPELINE INSTALLATION SPECIALIZED FREIGHT EXCEPT USED GOODS TRUCKING LOCAL SPECIFICALLY HAULING OF DIRT GRAVEL SAND STONE RENTAL OF TRUCK WITH DRIVER ENGINEERING SERVICES SPECIFICALLY CIVIL ENGINEERING ESTIMATING AND PROJECT MANAGEMENT,"P O BOX 883
GREENBELT, MD 20768
"
"ADEMILUYI, APRIL",P.O. BOX 1248,LAUREL,MD,20725,PRINCE GEORGE'S,AFRICAN AMERICAN / FEMALE,APRIL ADEMILUYI,4433933984,4433930416,12-245,03/29/2012 12:00:00 AM,APRIL.MBE.ADEMILUYI@GMAIL.COM,http://WWW.LAWOFFICEATA.COM,"541110-MBE/DBE/SBE, 541199-MBE/DBE/SBE",OFFICES OF LAWYERS SPECIFICALLY PATENT TRADEMARK MORTGAGE AND REAL ESTATE BANKRUPTCY POLICY REVIEW AND LITIGATION SERVICES ALL OTHER LEGAL SERVICES SPECIFICALLY INCLUDING TRANSACTIONAL COMPLIANCE CONTRACTS POLICY BOND AND DOCUMENT REVIEW,"P.O. BOX 1248
LAUREL, MD 20725
"
"ADMINISTRATIVE CONSULTANTS, LLC","601 QUICKSILVER COURT, UNIT 401",REISTERSTOWN,MD,21136,BALTIMORE,AFRICAN AMERICAN / FEMALE,FRANCES E. WADDELL,4437565039,4108449172,10-738,11/18/2010 12:00:00 AM,FWADDELL@ADMINCONSULTS.COM,http://WWW.ADMINCONSULTS.COM,"541219-MBE/DBE/SBE, 541613-MBE/DBE/SBE, 561110-MBE/DBE/SBE, 561320-MBE/DBE/SBE, 561410-MBE/DBE/SBE, 561920-MBE/DBE/SBE",OTHER ACCOUNTING SERVICES SPECIFICALLY QUICKBOOKS DATA ENTRY ACCOUNT RECONCILIATION PAYABLES RECEIVABLES BILLING SERVICES MARKETING CONSULTING SERVICES SPECIFICALLY DEVELOPING MARKETING OBJECTIVES AND POLICIES AND MARKETING PLANNING AND STRATEGY OFFICE ADMINISTRATIVE SERVICES SPECIFCIALLY OFFICE ADMINISTRATIVE SERVICES FILLING RECORDKEEPING PERSONNEL MANAGEMENT INTERNET RESEARCH WEB DESIGN MAINTENANCE TEMPORARY HELP SERVICES TEMPORARY STAFFING SERVICES DOCUMENT PREPARATION SERVICES SPECIFICALLY SECRETARIAL SERVICES DESKTOP PLULISHING TYPING WORD PROCESSING DOCUMENT EDITING AND PROFREADING RESUME WRITING WORD PROCESSING AND DESKTOP PUBLISHING CONVENTION AND TRADE SHOW ORGANIZERS SPECIFICALLY ORGANIZING PROMOTING AND OR MANAGING CONFERENCES CONVENTIONS AND TRADE SHOWS ORGANIZING PROMOTING MANAGING CONFERENCES CORPORATE EVENT PLANNING,"601 QUICKSILVER COURT, UNIT 401
REISTERSTOWN, MD 21136
"
"ADS DATA SYSTEMS, INC.",P. O. BOX 431,STEVENSON,MD,21153,BALTIMORE,FEMALE,MARYBETH P. SCOVILL,8666118859,8664720811,11-437,08/09/2011 12:00:00 AM,BSCOVILL@ADSDATASYSTEMS.COM,http://WWW.ADSDATASYSTEMS.COM,541512-MBE-ONLY,COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY CONSULTING SERVICES COMPUTER SOFTWARE CONSULTING SERVICES LICENSING MEDICAL BILLING SOFTWARE,"P. O. BOX 431
STEVENSON, MD 21153
"
