idnaicsLookup	naicsCode	naicsName		#REF!	#REF!
46	115113	"Crop Harvesting, Primarily by Machine"		#REF!	#REF!
47	111334	Berry (Except Strawberry) Farming		#REF!	#REF!
48	111333	Strawberry Farming		#REF!	#REF!
49	111332	Grape Vineyards		#REF!	#REF!
50	115115	Farm Labor Contractors and Crew Leaders		#REF!	#REF!
51	112990	Animal Production NOC		#REF!	#REF!
52	112920	Horses and Other Equine Production		#REF!	#REF!
53	115210	Support Activities for Animal Production		#REF!	#REF!
54	112130	Dual-Purpose Cattle Ranching and Farming		#REF!	#REF!
55	112111	Beef Cattle Ranching and Farming		#REF!	#REF!
56	112420	Goat Farming		#REF!	#REF!
57	112410	Sheep Farming		#REF!	#REF!
58	112210	Hog and Pig Farming		#REF!	#REF!
59	111421	Nursery and Tree Production		#REF!	#REF!
60	238910	Site Preparation Contractors		#REF!	#REF!
61	561730	Landscaping Services		#REF!	#REF!
62	561730	Landscaping Services		#REF!	#REF!
63	561730	Landscaping Services		#REF!	#REF!
64	112519	Other Aquaculture		#REF!	#REF!
65	112511	Finfish Farming and Fish Hatcheries		#REF!	#REF!
66	112512	Shellfish Farming		#REF!	#REF!
67	112930	Fur-Bearing Animal and Rabbit Production		#REF!	#REF!
68	221310	Water Supply and Irrigation Systems		#REF!	#REF!
69	493130	Farm Product Warehousing and Storage		#REF!	#REF!
70	115111	Cotton Ginning		#REF!	#REF!
71	115111	Cotton Ginning		#REF!	#REF!
72	814110	Private Households		#REF!	#REF!
73	814110	Private Households		#REF!	#REF!
74	814110	Private Households		#REF!	#REF!
75	814110	Private Households		#REF!	#REF!
76	814110	Private Households		#REF!	#REF!
77	812910	Pet Care (Except Veterinary) Services		#REF!	#REF!
78	561720	Janitorial Services		#REF!	#REF!
79	212113	Anthracite Mining		#REF!	#REF!
80	212111	Bituminous Coal and Lignite Surface Mining		#REF!	#REF!
81	212112	Bituminous Coal Underground Mining		#REF!	#REF!
82	212113	Anthracite Mining		#REF!	#REF!
83	212299	All Other Metal Ore Mining		#REF!	#REF!
84	212399	All Other Nonmetallic Mineral Mining		#REF!	#REF!
85	212234	Copper Ore and Nickel Ore Mining		#REF!	#REF!
86	212221	Gold Ore Mining		#REF!	#REF!
87	212210	Iron Ore Mining		#REF!	#REF!
88	212324	Kaolin and Ball Clay Mining		#REF!	#REF!
89	212231	Lead Ore and Zinc Ore Mining		#REF!	#REF!
90	212393	Other Chemical and Fertilizer Mineral Mining		#REF!	#REF!
91	212392	Phosphate Rock Mining		#REF!	#REF!
92	212391	"Potash, Soda, and Borate Mineral Mining"		#REF!	#REF!
93	212222	Silver Ore Mining		#REF!	#REF!
94	212291	"Uranium, Radium, Vanadium Ore Mining"		#REF!	#REF!
95	213114	Dredging: Gold--Endless Bucket or Ladder Type		#REF!	#REF!
96	213114	Dredging: Gold--Endless Bucket or Ladder Type		#REF!	#REF!
97	212299	All Other Metal Ore Mining		#REF!	#REF!
98	212399	All Other Nonmetallic Mineral Mining		#REF!	#REF!
99	212234	Copper Ore and Nickel Ore Mining		#REF!	#REF!
100	212221	Gold Ore Mining		#REF!	#REF!
101	212210	Iron Ore Mining		#REF!	#REF!
102	212324	Kaolin and Ball Clay Mining		#REF!	#REF!
103	212231	Lead Ore and Zinc Ore Mining		#REF!	#REF!
104	212393	Other Chemical and Fertilizer Mineral Mining		#REF!	#REF!
105	212392	Phosphate Rock Mining		#REF!	#REF!
106	212391	"Potash, Soda, and Borate Mineral Mining"		#REF!	#REF!
107	212222	Silver Ore Mining		#REF!	#REF!
108	212291	"Uranium, Radium, Vanadium Ore Mining"		#REF!	#REF!
109	211112	Natural Gas Liquid Extraction		#REF!	#REF!
110	211111	Crude Petroleum and Natural Gas Extraction		#REF!	#REF!
111	211111	Crude Petroleum and Natural Gas Extraction		#REF!	#REF!
112	213112	Support Activities for Oil and Gas Operations		#REF!	#REF!
113	213112	Support Activities for Oil and Gas Operations		#REF!	#REF!
114	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
115	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
116	331313	Alumina Refining and Primary Aluminum Production		#REF!	#REF!
117	324199	All Other Petroleum and Coal Products Mfg.		#REF!	#REF!
118	325998	All Other Misc. Chemical Product and Preparation Mfg.		#REF!	#REF!
119	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
120	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
121	331313	Alumina Refining and Primary Aluminum Production		#REF!	#REF!
122	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
123	331314	Secondary Smelting and Alloying of Aluminum		#REF!	#REF!
124	331420	"Copper Rolling, Drawing, Extruding, and Alloying"		#REF!	#REF!
125	331410	Nonferrous Metal (Except Aluminum) Smelting and Refining		#REF!	#REF!
126	331492	"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (Except Copper and Aluminum)"		#REF!	#REF!
127	335991	Carbon and Graphite Product Mfg.		#REF!	#REF!
128	327992	Ground or Treated Mineral and Earth Mfg.		#REF!	#REF!
129	324199	All Other Petroleum and Coal Products Mfg.		#REF!	#REF!
130	324121	Asphalt Paving Mixture and Block Mfg.		#REF!	#REF!
131	325193	Ethyl Alcohol Mfg.		#REF!	#REF!
132	325998	All Other Misc. Chemical Product and Preparation Mfg.		#REF!	#REF!
133	325193	Ethyl Alcohol Mfg.		#REF!	#REF!
134	325998	All Other Misc. Chemical Product and Preparation Mfg.		#REF!	#REF!
135	324199	All Other Petroleum and Coal Products Mfg.		#REF!	#REF!
136	325194	"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."		#REF!	#REF!
137	325194	"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."		#REF!	#REF!
138	325194	"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."		#REF!	#REF!
139	212319	Other Crushed and Broken Stone Mining and Quarrying		#REF!	#REF!
140	212311	Dimension Stone Mining and Quarrying		#REF!	#REF!
141	212313	Crushed and Broken Granite Mining and Quarrying		#REF!	#REF!
142	327991	Cut Stone and Stone Product Mfg.		#REF!	#REF!
143	212319	Other Crushed and Broken Stone Mining and Quarrying		#REF!	#REF!
144	327410	Lime Mfg.		#REF!	#REF!
145	212319	Other Crushed and Broken Stone Mining and Quarrying		#REF!	#REF!
146	212312	Crushed and Broken Limestone Mining and Quarrying		#REF!	#REF!
147	327993	Mineral Wool Mfg.		#REF!	#REF!
148	327310	Cement Mfg.		#REF!	#REF!
149	327310	Cement Mfg.		#REF!	#REF!
150	327310	Cement Mfg.		#REF!	#REF!
151	212319	Other Crushed and Broken Stone Mining and Quarrying		#REF!	#REF!
152	327910	Abrasive Product Mfg.		#REF!	#REF!
153	327910	Abrasive Product Mfg.		#REF!	#REF!
154	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
155	327910	Abrasive Product Mfg.		#REF!	#REF!
156	327910	Abrasive Product Mfg.		#REF!	#REF!
157	327910	Abrasive Product Mfg.		#REF!	#REF!
158	327910	Abrasive Product Mfg.		#REF!	#REF!
159	327910	Abrasive Product Mfg.		#REF!	#REF!
160	327910	Abrasive Product Mfg.		#REF!	#REF!
161	327910	Abrasive Product Mfg.		#REF!	#REF!
162	327991	Cut Stone and Stone Product Mfg.		#REF!	#REF!
163	327991	Cut Stone and Stone Product Mfg.		#REF!	#REF!
164	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
165	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
166	327910	Abrasive Product Mfg.		#REF!	#REF!
167	331491	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"		#REF!	#REF!
168	331420	"Copper Rolling, Drawing, Extruding, and Alloying"		#REF!	#REF!
169	331491	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"		#REF!	#REF!
170	331523	Nonferrous Metal Die-Casting Foundries		#REF!	#REF!
171	331523	Aluminum Die-Casting Foundries		#REF!	#REF!
172	311824	"Dry Pasta, Dough, and Flour Mixes Mfg. from Purchased Flour"		#REF!	#REF!
173	311811	Retail Bakeries		#REF!	#REF!
174	311812	Commercial Bakeries		#REF!	#REF!
175	311821	Cookie and Cracker Mfg.		#REF!	#REF!
176	311813	"Frozen Cakes, Pies, and Other Pastries Mfg."		#REF!	#REF!
177	311119	Other Animal Food Mfg.		#REF!	#REF!
178	311211	Flour Milling		#REF!	#REF!
179	311211	Flour Milling		#REF!	#REF!
180	311211	Flour Milling		#REF!	#REF!
181	311213	Malt Mfg.		#REF!	#REF!
182	311212	Rice Milling		#REF!	#REF!
183	311230	Breakfast Cereal Mfg.		#REF!	#REF!
184	311313	Beet Sugar Mfg.		#REF!	#REF!
185	311314	Cane Sugar Mfg.		#REF!	#REF!
186	311930	Flavoring Syrup and Concentrate Mfg.		#REF!	#REF!
187	311314	Cane Sugar Mfg.		#REF!	#REF!
188	311999	All Other Misc. Food Mfg.		#REF!	#REF!
189	311520	Ice Cream and Frozen Dessert Mfg.		#REF!	#REF!
190	311351	Chocolate and Confectionery Mfg. from Cacao Beans		#REF!	#REF!
191	311340	Nonchocolate Confectionery Mfg.		#REF!	#REF!
192	311351	Chocolate and Confectionery Mfg. from Cacao Beans		#REF!	#REF!
193	311340	Nonchocolate Confectionery Mfg.		#REF!	#REF!
194	311352	Confectionery Mfg. from Purchased Chocolate		#REF!	#REF!
195	311340	Nonchocolate Confectionery Mfg.		#REF!	#REF!
196	311514	"Dry, Condensed, and Evaporated Dairy Product Mfg."		#REF!	#REF!
197	311514	"Dry, Condensed, and Evaporated Dairy Product Mfg."		#REF!	#REF!
198	311514	"Dry, Condensed, and Evaporated Dairy Product Mfg."		#REF!	#REF!
199	311512	Creamery Butter Mfg.		#REF!	#REF!
200	311513	Cheese Mfg.		#REF!	#REF!
201	311511	Fluid Milk Mfg.		#REF!	#REF!
202	424430	Dairy Product (Except Dried or Canned) Merchant Wholesalers		#REF!	#REF!
203	424430	Dairy Product (Except Dried or Canned) Merchant Wholesalers		#REF!	#REF!
204	311611	Animal (Except Poultry) Slaughtering		#REF!	#REF!
205	311611	Animal (Except Poultry) Slaughtering		#REF!	#REF!
206	311611	Animal (Except Poultry) Slaughtering		#REF!	#REF!
207	311710	Seafood Product Preparation and Packaging		#REF!	#REF!
208	311611	Animal (Except Poultry) Slaughtering		#REF!	#REF!
209	311615	Poultry Processing		#REF!	#REF!
210	311710	Seafood Product Preparation and Packaging		#REF!	#REF!
211	311612	Meat Processed from Carcasses		#REF!	#REF!
212	311612	Meat Processed from Carcasses		#REF!	#REF!
213	115114	Postharvest Crop Activities (Except Cotton Ginning)		#REF!	#REF!
214	115114	Postharvest Crop Activities (Except Cotton Ginning)		#REF!	#REF!
215	115114	Postharvest Crop Activities (Except Cotton Ginning)		#REF!	#REF!
216	115114	Postharvest Crop Activities (Except Cotton Ginning)		#REF!	#REF!
217	311421	Fruit and Vegetable Canning		#REF!	#REF!
218	325998	All Other Misc. Chemical Product and Preparation Mfg.		#REF!	#REF!
219	311999	All Other Misc. Food Mfg.		#REF!	#REF!
220	311111	Dog and Cat Food Mfg.		#REF!	#REF!
221	311421	Fruit and Vegetable Canning		#REF!	#REF!
222	311422	Specialty Canning		#REF!	#REF!
223	311710	Seafood Product Preparation and Packaging		#REF!	#REF!
224	311999	All Other Misc. Food Mfg.		#REF!	#REF!
225	311111	Dog and Cat Food Mfg.		#REF!	#REF!
226	311423	Dried and Dehydrated Food Mfg.		#REF!	#REF!
227	311411	"Frozen Fruit, Juice, and Vegetable Mfg."		#REF!	#REF!
228	311710	Seafood Product Preparation and Packaging		#REF!	#REF!
229	311710	Seafood Product Preparation and Packaging		#REF!	#REF!
230	312120	Breweries		#REF!	#REF!
231	312120	Breweries		#REF!	#REF!
232	312120	Breweries		#REF!	#REF!
233	312120	Breweries		#REF!	#REF!
234	312140	Distilleries		#REF!	#REF!
235	312140	Distilleries		#REF!	#REF!
236	312140	Distilleries		#REF!	#REF!
237	311411	"Frozen Fruit, Juice, and Vegetable Mfg."		#REF!	#REF!
238	312130	Wineries		#REF!	#REF!
239	312130	Wineries		#REF!	#REF!
240	312111	Soft Drink Mfg.		#REF!	#REF!
241	312111	Soft Drink Mfg.		#REF!	#REF!
242	312111	Soft Drink Mfg.		#REF!	#REF!
243	312112	Bottled Water Mfg.		#REF!	#REF!
244	312112	Bottled Water Mfg.		#REF!	#REF!
245	312112	Bottled Water Mfg.		#REF!	#REF!
246	312112	Bottled Water Mfg.		#REF!	#REF!
247	312111	Soft Drink Mfg.		#REF!	#REF!
248	312230	Tobacco Mfg.		#REF!	#REF!
249	312230	Tobacco Mfg.		#REF!	#REF!
250	312230	Tobacco Mfg.		#REF!	#REF!
251	312230	Tobacco Mfg.		#REF!	#REF!
252	312230	Tobacco Mfg.		#REF!	#REF!
253	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
254	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
255	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
256	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
257	314110	Carpet and Rug Mills		#REF!	#REF!
258	314994	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"		#REF!	#REF!
259	314994	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"		#REF!	#REF!
260	313210	Broadwoven Fabric Mills		#REF!	#REF!
261	313210	Broadwoven Fabric Mills		#REF!	#REF!
262	313210	Broadwoven Fabric Mills		#REF!	#REF!
263	313210	Broadwoven Fabric Mills		#REF!	#REF!
264	313210	Broadwoven Fabric Mills		#REF!	#REF!
265	314994	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"		#REF!	#REF!
266	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
267	314994	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"		#REF!	#REF!
268	314994	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"		#REF!	#REF!
269	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
270	313210	Broadwoven Fabric Mills		#REF!	#REF!
271	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
272	313230	Nonwoven Fabric Mills		#REF!	#REF!
273	313210	Broadwoven Fabric Mills		#REF!	#REF!
274	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
275	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
276	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
277	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
278	313210	Broadwoven Fabric Mills		#REF!	#REF!
279	313210	Broadwoven Fabric Mills		#REF!	#REF!
280	315110	Hosiery and Sock Mills		#REF!	#REF!
281	315110	Hosiery and Sock Mills		#REF!	#REF!
282	315190	Other Apparel Knitting Mills		#REF!	#REF!
283	315190	Other Apparel Knitting Mills		#REF!	#REF!
284	315190	Other Apparel Knitting Mills		#REF!	#REF!
285	313240	Knit Fabric Mills		#REF!	#REF!
286	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
287	313220	Narrow Fabric Mills and Schiffli Machine Embroidery		#REF!	#REF!
288	313220	Narrow Fabric Mills and Schiffli Machine Embroidery		#REF!	#REF!
289	313220	Narrow Fabric Mills and Schiffli Machine Embroidery		#REF!	#REF!
290	313240	Knit Fabric Mills		#REF!	#REF!
291	313220	Narrow Fabric Mills and Schiffli Machine Embroidery		#REF!	#REF!
292	314110	Carpet and Rug Mills		#REF!	#REF!
293	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
294	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
295	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
296	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
297	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
298	323113	Commercial Screen Printing		#REF!	#REF!
299	336390	Other Motor Vehicle Parts Mfg.		#REF!	#REF!
300	314910	Textile Bag and Canvas Mills		#REF!	#REF!
301	314910	Textile Bag and Canvas Mills		#REF!	#REF!
302	314910	Textile Bag and Canvas Mills		#REF!	#REF!
303	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
304	314910	Textile Bag and Canvas Mills		#REF!	#REF!
305	313310	Textile and Fabric Finishing Mills		#REF!	#REF!
306	315280	Other Cut and Sew Apparel Mfg.		#REF!	#REF!
307	315210	Cut and Sew Apparel Contractors		#REF!	#REF!
308	315210	Cut and Sew Apparel Contractors		#REF!	#REF!
309	315280	Other Cut and Sew Apparel Mfg.		#REF!	#REF!
310	314120	Curtain and Linen Mills		#REF!	#REF!
311	314120	Curtain and Linen Mills		#REF!	#REF!
312	339930	"Doll, Toy, and Game Mfg."		#REF!	#REF!
313	315280	Other Cut and Sew Apparel Mfg.		#REF!	#REF!
314	314120	Curtain and Linen Mills		#REF!	#REF!
315	315280	Other Cut and Sew Apparel Mfg.		#REF!	#REF!
316	314120	Curtain and Linen Mills		#REF!	#REF!
317	314120	Curtain and Linen Mills		#REF!	#REF!
318	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
319	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
320	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
321	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
322	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
323	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
324	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
325	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
326	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
327	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
328	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
329	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
330	314910	Textile Bag and Canvas Mills		#REF!	#REF!
331	315220	Men's and Boys' Cut and Sew Apparel Mfg.		#REF!	#REF!
332	339950	Sign Mfg.		#REF!	#REF!
333	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
334	314999	All Other Misc. Textile Product Mills		#REF!	#REF!
335	339930	"Doll, Toy, and Game Mfg."		#REF!	#REF!
336	339999	All Other Misc. Mfg.		#REF!	#REF!
337	337920	Blind and Shade Mfg.		#REF!	#REF!
338	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
339	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
340	315240	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."		#REF!	#REF!
341	448190	Other Clothing Stores		#REF!	#REF!
342	541490	Other Specialized Design Services		#REF!	#REF!
343	325220	Artificial and Synthetic Fibers and Filaments Mfg.		#REF!	#REF!
344	339999	All Other Misc. Mfg.		#REF!	#REF!
345	337910	Mattress Mfg.		#REF!	#REF!
346	561740	Carpet and Upholstery Cleaning Services		#REF!	#REF!
347	561740	Carpet and Upholstery Cleaning Services		#REF!	#REF!
348	812331	Linen Supply		#REF!	#REF!
349	812320	Drycleaning and Laundry Services (Except Coin-Operated)		#REF!	#REF!
350	561740	Carpet and Upholstery Cleaning Services		#REF!	#REF!
351	561740	Carpet and Upholstery Cleaning Services		#REF!	#REF!
352	812332	Industrial Launderers		#REF!	#REF!
353	812331	Linen Supply		#REF!	#REF!
354	812320	Drycleaning and Laundry Services (Except Coin-Operated)		#REF!	#REF!
355	316110	Leather and Hide Tanning and Finishing		#REF!	#REF!
356	315280	Other Cut and Sew Apparel Mfg.		#REF!	#REF!
357	316110	Leather and Hide Tanning and Finishing		#REF!	#REF!
358	316110	Leather and Hide Tanning and Finishing		#REF!	#REF!
359	316110	Leather and Hide Tanning and Finishing		#REF!	#REF!
360	313110	"Fiber, Yarn, and Thread Mills"		#REF!	#REF!
361	339991	"Gasket, Packing, and Sealing Device Mfg."		#REF!	#REF!
362	316998	All Other Leather Good and Allied Product Mfg.		#REF!	#REF!
363	316998	All Other Leather Good and Allied Product Mfg.		#REF!	#REF!
364	316210	Footwear Mfg.		#REF!	#REF!
365	316210	Footwear Mfg.		#REF!	#REF!
366	316210	Footwear Mfg.		#REF!	#REF!
367	316210	Footwear Mfg.		#REF!	#REF!
368	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
369	315990	Apparel Accessories and Other Apparel Mfg.		#REF!	#REF!
370	316998	All Other Leather Good and Allied Product Mfg.		#REF!	#REF!
371	316998	All Other Leather Good and Allied Product Mfg.		#REF!	#REF!
372	316998	All Other Leather Good and Allied Product Mfg.		#REF!	#REF!
373	316992	Women's Handbag and Purse Mfg.		#REF!	#REF!
374	115310	Support Activities for Forestry		#REF!	#REF!
375	238910	Site Preparation Contractors		#REF!	#REF!
376	113310	Logging		#REF!	#REF!
377	238910	Site Preparation Contractors		#REF!	#REF!
378	113310	Logging		#REF!	#REF!
379	321113	Sawmills		#REF!	#REF!
380	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
381	321211	Hardwood Veneer and Plywood Mfg.		#REF!	#REF!
382	321212	Softwood Veneer and Plywood Mfg.		#REF!	#REF!
383	321918	Other Millwork (Including Flooring)		#REF!	#REF!
384	321920	Wood Container and Pallet Mfg.		#REF!	#REF!
385	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
386	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
387	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
388	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
389	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
390	321920	Wood Container and Pallet Mfg.		#REF!	#REF!
391	321920	Wood Container and Pallet Mfg.		#REF!	#REF!
392	333511	Industrial Mold Mfg.		#REF!	#REF!
393	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
394	332999	Industrial Pattern Mfg.		#REF!	#REF!
395	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
396	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
397	321992	Prefabricated Wood Building Mfg.		#REF!	#REF!
398	321991	Manufactured Home (Mobile Home) Mfg.		#REF!	#REF!
399	321992	Prefabricated Wood Building Mfg.		#REF!	#REF!
400	484220	"Specialized Freight (Except Used Goods) Trucking, Local"		#REF!	#REF!
401	238130	Framing Contractors		#REF!	#REF!
402	321911	Wood Window and Door Mfg.		#REF!	#REF!
403	321213	Engineered Wood Member (Except Truss) Mfg.		#REF!	#REF!
404	321912	"Cut Stock, Resawing Lumber, and Planing"		#REF!	#REF!
405	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
406	321214	Truss Mfg.		#REF!	#REF!
407	339994	"Broom, Brush, and Mop Mfg."		#REF!	#REF!
408	339994	"Broom, Brush, and Mop Mfg."		#REF!	#REF!
409	339994	"Broom, Brush, and Mop Mfg."		#REF!	#REF!
410	339999	All Other Misc. Mfg.		#REF!	#REF!
411	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
412	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
413	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
414	339930	"Doll, Toy, and Game Mfg."		#REF!	#REF!
415	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
416	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
417	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
418	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
419	321920	Wood Container and Pallet Mfg.		#REF!	#REF!
420	337110	Wood Kitchen Cabinet and Countertop Mfg.		#REF!	#REF!
421	339995	Burial Casket Mfg.		#REF!	#REF!
422	337212	Custom Architectural Woodwork and Millwork Mfg.		#REF!	#REF!
423	339999	All Other Misc. Mfg.		#REF!	#REF!
424	339950	Sign Mfg.		#REF!	#REF!
425	337920	Blind and Shade Mfg.		#REF!	#REF!
426	339920	Sporting and Athletic Goods Mfg.		#REF!	#REF!
427	321920	Wood Container and Pallet Mfg.		#REF!	#REF!
428	337122	Nonupholstered Wood Household Furniture Mfg.		#REF!	#REF!
429	337122	Nonupholstered Wood Household Furniture Mfg.		#REF!	#REF!
430	337122	Nonupholstered Wood Household Furniture Mfg.		#REF!	#REF!
431	337211	Wood Office Furniture Mfg.		#REF!	#REF!
432	337122	Nonupholstered Wood Household Furniture Mfg.		#REF!	#REF!
433	337215	"Showcase, Partition, Shelving, and Locker Mfg."		#REF!	#REF!
434	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
435	337125	Household Furniture (Except Wood and Metal) Mfg.		#REF!	#REF!
436	321999	All Other Misc. Wood Product Mfg.		#REF!	#REF!
437	337121	Upholstered Household Furniture Mfg.		#REF!	#REF!
438	321212	Softwood Veneer and Plywood Mfg.		#REF!	#REF!
439	321212	Softwood Veneer and Plywood Mfg.		#REF!	#REF!
440	321212	Softwood Veneer and Plywood Mfg.		#REF!	#REF!
441	321212	Softwood Veneer and Plywood Mfg.		#REF!	#REF!
442	339992	Musical Instrument Mfg.		#REF!	#REF!
443	339992	Musical Instrument Mfg.		#REF!	#REF!
444	339992	Musical Instrument Mfg.		#REF!	#REF!
