idnaicsLookup,naicsCode,naicsName
187,311314,Cane Sugar Mfg.
188,311999,All Other Misc. Food Mfg.
189,311520,Ice Cream and Frozen Dessert Mfg.
190,311351,Chocolate and Confectionery Mfg. from Cacao Beans
191,311340,Nonchocolate Confectionery Mfg.
192,311351,Chocolate and Confectionery Mfg. from Cacao Beans
193,311340,Nonchocolate Confectionery Mfg.
194,311352,Confectionery Mfg. from Purchased Chocolate
195,311340,Nonchocolate Confectionery Mfg.
196,311514,"Dry, Condensed, and Evaporated Dairy Product Mfg."
197,311514,"Dry, Condensed, and Evaporated Dairy Product Mfg."
198,311514,"Dry, Condensed, and Evaporated Dairy Product Mfg."
199,311512,Creamery Butter Mfg.
200,311513,Cheese Mfg.
201,311511,Fluid Milk Mfg.
202,424430,Dairy Product (Except Dried or Canned) Merchant Wholesalers
203,424430,Dairy Product (Except Dried or Canned) Merchant Wholesalers
204,311611,Animal (Except Poultry) Slaughtering
205,311611,Animal (Except Poultry) Slaughtering
206,311611,Animal (Except Poultry) Slaughtering
207,311710,Seafood Product Preparation and Packaging
208,311611,Animal (Except Poultry) Slaughtering
209,311615,Poultry Processing
210,311710,Seafood Product Preparation and Packaging
211,311612,Meat Processed from Carcasses
212,311612,Meat Processed from Carcasses
213,115114,Postharvest Crop Activities (Except Cotton Ginning)
214,115114,Postharvest Crop Activities (Except Cotton Ginning)
215,115114,Postharvest Crop Activities (Except Cotton Ginning)
216,115114,Postharvest Crop Activities (Except Cotton Ginning)
217,311421,Fruit and Vegetable Canning
218,325998,All Other Misc. Chemical Product and Preparation Mfg.
219,311999,All Other Misc. Food Mfg.
220,311111,Dog and Cat Food Mfg.
221,311421,Fruit and Vegetable Canning
222,311422,Specialty Canning
223,311710,Seafood Product Preparation and Packaging
224,311999,All Other Misc. Food Mfg.
225,311111,Dog and Cat Food Mfg.
226,311423,Dried and Dehydrated Food Mfg.
227,311411,"Frozen Fruit, Juice, and Vegetable Mfg."
228,311710,Seafood Product Preparation and Packaging
229,311710,Seafood Product Preparation and Packaging
230,312120,Breweries
231,312120,Breweries
232,312120,Breweries
233,312120,Breweries
234,312140,Distilleries
235,312140,Distilleries
236,312140,Distilleries
237,311411,"Frozen Fruit, Juice, and Vegetable Mfg."
238,312130,Wineries
239,312130,Wineries
240,312111,Soft Drink Mfg.
241,312111,Soft Drink Mfg.
242,312111,Soft Drink Mfg.
243,312112,Bottled Water Mfg.
244,312112,Bottled Water Mfg.
245,312112,Bottled Water Mfg.
246,312112,Bottled Water Mfg.
247,312111,Soft Drink Mfg.
248,312230,Tobacco Mfg.
249,312230,Tobacco Mfg.
250,312230,Tobacco Mfg.
251,312230,Tobacco Mfg.
252,312230,Tobacco Mfg.
253,314999,All Other Misc. Textile Product Mills
254,314999,All Other Misc. Textile Product Mills
255,314999,All Other Misc. Textile Product Mills
256,314999,All Other Misc. Textile Product Mills
257,314110,Carpet and Rug Mills
258,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
259,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
260,313210,Broadwoven Fabric Mills
261,313210,Broadwoven Fabric Mills
262,313210,Broadwoven Fabric Mills
263,313210,Broadwoven Fabric Mills
264,313210,Broadwoven Fabric Mills
265,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
266,313110,"Fiber, Yarn, and Thread Mills"
267,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
268,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
269,313110,"Fiber, Yarn, and Thread Mills"
270,313210,Broadwoven Fabric Mills
271,313110,"Fiber, Yarn, and Thread Mills"
272,313230,Nonwoven Fabric Mills
273,313210,Broadwoven Fabric Mills
274,313110,"Fiber, Yarn, and Thread Mills"
275,313110,"Fiber, Yarn, and Thread Mills"
276,313110,"Fiber, Yarn, and Thread Mills"
277,313110,"Fiber, Yarn, and Thread Mills"
278,313210,Broadwoven Fabric Mills
279,313210,Broadwoven Fabric Mills
280,315110,Hosiery and Sock Mills
281,315110,Hosiery and Sock Mills
282,315190,Other Apparel Knitting Mills
283,315190,Other Apparel Knitting Mills
284,315190,Other Apparel Knitting Mills
285,313240,Knit Fabric Mills
286,315990,Apparel Accessories and Other Apparel Mfg.
287,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
288,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
289,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
290,313240,Knit Fabric Mills
291,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
292,314110,Carpet and Rug Mills
293,313310,Textile and Fabric Finishing Mills
294,313310,Textile and Fabric Finishing Mills
295,313310,Textile and Fabric Finishing Mills
296,313310,Textile and Fabric Finishing Mills
297,313310,Textile and Fabric Finishing Mills
298,323113,Commercial Screen Printing
299,336390,Other Motor Vehicle Parts Mfg.
300,314910,Textile Bag and Canvas Mills
301,314910,Textile Bag and Canvas Mills
302,314910,Textile Bag and Canvas Mills
303,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
304,314910,Textile Bag and Canvas Mills
305,313310,Textile and Fabric Finishing Mills
306,315280,Other Cut and Sew Apparel Mfg.
307,315210,Cut and Sew Apparel Contractors
308,315210,Cut and Sew Apparel Contractors
309,315280,Other Cut and Sew Apparel Mfg.
310,314120,Curtain and Linen Mills
311,314120,Curtain and Linen Mills
312,339930,"Doll, Toy, and Game Mfg."
313,315280,Other Cut and Sew Apparel Mfg.
314,314120,Curtain and Linen Mills
315,315280,Other Cut and Sew Apparel Mfg.
316,314120,Curtain and Linen Mills
317,314120,Curtain and Linen Mills
318,315990,Apparel Accessories and Other Apparel Mfg.
319,315990,Apparel Accessories and Other Apparel Mfg.
320,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
321,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
322,315220,Men's and Boys' Cut and Sew Apparel Mfg.
323,315220,Men's and Boys' Cut and Sew Apparel Mfg.
324,315220,Men's and Boys' Cut and Sew Apparel Mfg.
325,315220,Men's and Boys' Cut and Sew Apparel Mfg.
326,315220,Men's and Boys' Cut and Sew Apparel Mfg.
327,315990,Apparel Accessories and Other Apparel Mfg.
328,315990,Apparel Accessories and Other Apparel Mfg.
329,314999,All Other Misc. Textile Product Mills
330,314910,Textile Bag and Canvas Mills
331,315220,Men's and Boys' Cut and Sew Apparel Mfg.
332,339950,Sign Mfg.
333,315990,Apparel Accessories and Other Apparel Mfg.
334,314999,All Other Misc. Textile Product Mills
335,339930,"Doll, Toy, and Game Mfg."
336,339999,All Other Misc. Mfg.
337,337920,Blind and Shade Mfg.
338,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
339,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
340,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
341,448190,Other Clothing Stores
342,541490,Other Specialized Design Services
343,325220,Artificial and Synthetic Fibers and Filaments Mfg.
344,339999,All Other Misc. Mfg.
345,337910,Mattress Mfg.
346,561740,Carpet and Upholstery Cleaning Services
347,561740,Carpet and Upholstery Cleaning Services
348,812331,Linen Supply
349,812320,Drycleaning and Laundry Services (Except Coin-Operated)
350,561740,Carpet and Upholstery Cleaning Services
351,561740,Carpet and Upholstery Cleaning Services
352,812332,Industrial Launderers
353,812331,Linen Supply
354,812320,Drycleaning and Laundry Services (Except Coin-Operated)
355,316110,Leather and Hide Tanning and Finishing
356,315280,Other Cut and Sew Apparel Mfg.
357,316110,Leather and Hide Tanning and Finishing
358,316110,Leather and Hide Tanning and Finishing
359,316110,Leather and Hide Tanning and Finishing
360,313110,"Fiber, Yarn, and Thread Mills"
361,339991,"Gasket, Packing, and Sealing Device Mfg."
362,316998,All Other Leather Good and Allied Product Mfg.
363,316998,All Other Leather Good and Allied Product Mfg.
364,316210,Footwear Mfg.
365,316210,Footwear Mfg.
366,316210,Footwear Mfg.
367,316210,Footwear Mfg.
368,315990,Apparel Accessories and Other Apparel Mfg.
369,315990,Apparel Accessories and Other Apparel Mfg.
370,316998,All Other Leather Good and Allied Product Mfg.
371,316998,All Other Leather Good and Allied Product Mfg.
372,316998,All Other Leather Good and Allied Product Mfg.
373,316992,Women's Handbag and Purse Mfg.
374,115310,Support Activities for Forestry
375,238910,Site Preparation Contractors
376,113310,Logging
377,238910,Site Preparation Contractors
378,113310,Logging
379,321113,Sawmills
380,321999,All Other Misc. Wood Product Mfg.
381,321211,Hardwood Veneer and Plywood Mfg.
382,321212,Softwood Veneer and Plywood Mfg.
383,321918,Other Millwork (Including Flooring)
384,321920,Wood Container and Pallet Mfg.
385,321999,All Other Misc. Wood Product Mfg.
386,321999,All Other Misc. Wood Product Mfg.
387,321999,All Other Misc. Wood Product Mfg.
388,321999,All Other Misc. Wood Product Mfg.
389,339940,Office Supplies (Except Paper) Mfg.
390,321920,Wood Container and Pallet Mfg.
391,321920,Wood Container and Pallet Mfg.
392,333511,Industrial Mold Mfg.
393,321999,All Other Misc. Wood Product Mfg.
394,332999,Industrial Pattern Mfg.
395,332999,All Other Misc. Fabricated Metal Product Mfg.
396,321999,All Other Misc. Wood Product Mfg.
397,321992,Prefabricated Wood Building Mfg.
398,321991,Manufactured Home (Mobile Home) Mfg.
399,321992,Prefabricated Wood Building Mfg.
400,484220,"Specialized Freight (Except Used Goods) Trucking, Local"
401,238130,Framing Contractors
402,321911,Wood Window and Door Mfg.
403,321213,Engineered Wood Member (Except Truss) Mfg.
404,321912,"Cut Stock, Resawing Lumber, and Planing"
405,321999,All Other Misc. Wood Product Mfg.
406,321214,Truss Mfg.
407,339994,"Broom, Brush, and Mop Mfg."
408,339994,"Broom, Brush, and Mop Mfg."
409,339994,"Broom, Brush, and Mop Mfg."
410,339999,All Other Misc. Mfg.
411,321999,All Other Misc. Wood Product Mfg.
412,321999,All Other Misc. Wood Product Mfg.
413,321999,All Other Misc. Wood Product Mfg.
414,339930,"Doll, Toy, and Game Mfg."
415,321999,All Other Misc. Wood Product Mfg.
416,321999,All Other Misc. Wood Product Mfg.
417,321999,All Other Misc. Wood Product Mfg.
418,321999,All Other Misc. Wood Product Mfg.
419,321920,Wood Container and Pallet Mfg.
420,337110,Wood Kitchen Cabinet and Countertop Mfg.
421,339995,Burial Casket Mfg.
422,337212,Custom Architectural Woodwork and Millwork Mfg.
423,339999,All Other Misc. Mfg.
424,339950,Sign Mfg.
425,337920,Blind and Shade Mfg.
426,339920,Sporting and Athletic Goods Mfg.
427,321920,Wood Container and Pallet Mfg.
428,337122,Nonupholstered Wood Household Furniture Mfg.
429,337122,Nonupholstered Wood Household Furniture Mfg.
430,337122,Nonupholstered Wood Household Furniture Mfg.
431,337211,Wood Office Furniture Mfg.
432,337122,Nonupholstered Wood Household Furniture Mfg.
433,337215,"Showcase, Partition, Shelving, and Locker Mfg."
434,321999,All Other Misc. Wood Product Mfg.
435,337125,Household Furniture (Except Wood and Metal) Mfg.
436,321999,All Other Misc. Wood Product Mfg.
437,337121,Upholstered Household Furniture Mfg.
438,321212,Softwood Veneer and Plywood Mfg.
439,321212,Softwood Veneer and Plywood Mfg.
440,321212,Softwood Veneer and Plywood Mfg.
441,321212,Softwood Veneer and Plywood Mfg.
442,339992,Musical Instrument Mfg.
443,339992,Musical Instrument Mfg.
444,339992,Musical Instrument Mfg.
445,339940,Office Supplies (Except Paper) Mfg.
446,339940,Office Supplies (Except Paper) Mfg.
447,339940,Office Supplies (Except Paper) Mfg.
448,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
449,321114,Wood Preservation
450,331110,Iron and Steel Mills and Ferroalloy Mfg.
451,331110,Iron and Steel Mills and Ferroalloy Mfg.
452,331221,Rolled Steel Shape Mfg.
453,332313,Plate Work Mfg.
454,332996,Fabricated Pipe and Pipe Fitting Mfg.
455,331491,"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
456,332996,Fabricated Pipe and Pipe Fitting Mfg.
457,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
458,331491,"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
459,331210,Iron and Steel Pipe and Tube Mfg. from Purchased Steel
460,332312,Fabricated Structural Metal Mfg.
461,332312,Fabricated Structural Metal Mfg.
462,332311,Prefabricated Metal Building and Component Mfg.
463,332312,Fabricated Structural Metal Mfg.
464,332323,Ornamental and Architectural Metal Work Mfg.
465,332323,Ornamental and Architectural Metal Work Mfg.
466,333921,Elevator and Moving Stairway Mfg.
467,333921,Elevator and Moving Stairway Mfg.
468,339950,Sign Mfg.
469,339950,Sign Mfg.
470,339950,Sign Mfg.
471,332322,Sheet Metal Work Mfg.
472,332322,Sheet Metal Work Mfg.
473,336413,Other Aircraft Parts and Auxiliary Equipment Mfg.
474,332999,All Other Misc. Fabricated Metal Product Mfg.
475,332999,All Other Misc. Fabricated Metal Product Mfg.
476,339995,Burial Casket Mfg.
477,332114,Custom Roll Forming
478,332321,Metal Window and Door Mfg.
479,337124,Metal Household Furniture Mfg.
480,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Mfg.
481,337127,Institutional Furniture Mfg.
482,332321,Metal Window and Door Mfg.
483,335999,All Other Misc. Electrical Equipment and Component Mfg.
484,332999,All Other Misc. Fabricated Metal Product Mfg.
485,337214,Office Furniture (Except Wood) Mfg.
486,335222,Household Refrigerator and Home Freezer Mfg.
487,332322,Sheet Metal Work Mfg.
488,333912,Air and Gas Compressor Mfg.
489,332999,All Other Misc. Fabricated Metal Product Mfg.
490,331511,Iron Foundries
491,331511,Iron Foundries
492,331513,Steel Foundries (Except Investment)
493,336611,Ship Building and Repairing
494,336510,Railroad Rolling Stock Mfg.
495,331512,Steel Investment Foundries
496,331529,Other Nonferrous Metal Foundries (Except Die-Casting)
497,331524,Aluminum Foundries (Except Die-Casting)
498,331529,Other Nonferrous Metal Foundries (Except Die-Casting)
499,336611,Ship Building and Repairing
500,332111,Iron and Steel Forging
501,332111,Iron and Steel Forging
502,332112,Nonferrous Forging
503,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Mfg.
504,332216,Saw Blade and Handtool Mfg.
505,332216,Saw Blade and Handtool Mfg.
506,333991,Power-Driven Handtool Mfg.
507,115210,Support Activities for Animal Production
508,332996,Fabricated Pipe and Pipe Fitting Mfg.
509,333515,Cutting Tool and Machine Tool Accessory Mfg.
510,333514,"Special Die and Tool, Die Set, Jig, and Fixture Mfg."
511,332216,Saw Blade and Handtool Mfg.
512,332216,Saw Blade and Handtool Mfg.
513,332216,Saw Blade and Handtool Mfg.
514,339993,"Fastener, Button, Needle, and Pin Mfg."
515,339940,Office Supplies (Except Paper) Mfg.
516,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."
517,332216,Saw Blade and Handtool Mfg.
518,332216,Saw Blade and Handtool Mfg.
519,332216,Saw Blade and Handtool Mfg.
520,332119,"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"
521,339993,"Fastener, Button, Needle, and Pin Mfg."
522,339993,"Fastener, Button, Needle, and Pin Mfg."
523,339993,"Fastener, Button, Needle, and Pin Mfg."
524,332722,"Bolt, Nut, Screw, Rivet, and Washer Mfg."
525,332618,Other Fabricated Wire Product Mfg.
526,332721,Precision Turned Product Mfg.
527,332722,"Bolt, Nut, Screw, Rivet, and Washer Mfg."
528,332510,Hardware Mfg.
529,332510,Hardware Mfg.
530,332999,All Other Misc. Fabricated Metal Product Mfg.
531,339920,Sporting and Athletic Goods Mfg.
532,333414,Heating Equipment (Except Warm Air Furnaces) Mfg.
533,333414,Heating Equipment (Except Warm Air Furnaces) Mfg.
534,333414,Heating Equipment (Except Warm Air Furnaces) Mfg.
535,333414,Heating Equipment (Except Warm Air Furnaces) Mfg.
536,335999,All Other Misc. Electrical Equipment and Component Mfg.
537,335221,Household Cooking Appliance Mfg.
538,335228,Other Major Household Appliance Mfg.
539,333414,Heating Equipment (Except Warm Air Furnaces) Mfg.
540,333415,Air Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Mfg.
541,334290,Other Communications Equipment Mfg.
542,334290,Other Communications Equipment Mfg.
543,334512,"Automatic Environment Control Mfg. for Residential, Commercial and Appliance Use"
544,334290,Other Communications Equipment Mfg.
545,335224,Household Laundry Equipment Mfg.
546,335210,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
547,335210,Small Electrical Appliance Mfg.
548,335999,All Other Misc. Electrical Equipment and Component Mfg.
549,334417,Electronic Connector Mfg.
550,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."
551,334419,Other Electronic Component Mfg.
552,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."
553,334419,Other Electronic Component Mfg.
554,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Mfg.
555,336390,Other Motor Vehicle Parts Mfg.
556,335999,All Other Misc. Electrical Equipment and Component Mfg.
557,335222,Household Refrigerator and Home Freezer Mfg.
558,334413,Semiconductor and Related Device Mfg.
559,334413,Semiconductor and Related Device Mfg.
560,339113,Surgical Appliance and Supplies Mfg.
561,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Mfg."
562,335121,Residential Electric Lighting Fixture Mfg.
563,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Mfg."
564,335129,Other Lighting Equipment Mfg.
565,335121,Residential Electric Lighting Fixture Mfg.
566,332913,Plumbing Fixture Fitting and Trim Mfg.
567,332431,Metal Can Mfg.
568,332431,Metal Can Mfg.
569,332999,All Other Misc. Fabricated Metal Product Mfg.
570,332999,All Other Misc. Fabricated Metal Product Mfg.
571,332999,All Other Misc. Fabricated Metal Product Mfg.
572,331318,"Other Aluminum Rolling, Drawing, and Extruding"
573,331318,"Other Aluminum Rolling, Drawing, and Extruding"
574,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."
575,332618,Other Fabricated Wire Product Mfg.
576,332618,Other Fabricated Wire Product Mfg.
577,331222,Steel Wire Drawing
578,332999,All Other Misc. Fabricated Metal Product Mfg.
579,332618,Other Fabricated Wire Product Mfg.
580,332618,Other Fabricated Wire Product Mfg.
581,332618,Other Fabricated Wire Product Mfg.
582,332618,Other Fabricated Wire Product Mfg.
583,339993,"Fastener, Button, Needle, and Pin Mfg."
584,332618,Other Fabricated Wire Product Mfg.
585,339993,"Fastener, Button, Needle, and Pin Mfg."
586,332216,Saw Blade and Handtool Mfg.
587,339999,All Other Misc. Mfg.
588,337910,Mattress Mfg.
589,336360,Motor Vehicle Seating and Interior Trim Mfg.
590,332613,Spring Mfg.
591,332613,Spring Mfg.
592,332811,Metal Heat Treating
593,332811,Metal Heat Treating
594,332119,"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"
595,332993,Ammunition (Except Small Arms) Mfg.
596,339999,All Other Misc. Mfg.
597,339999,All Other Misc. Mfg.
598,332117,Powder Metallurgy Part Mfg.
599,331315,"Aluminum Sheet, Plate, and Foil Mfg."
600,331315,"Aluminum Sheet, Plate, and Foil Mfg."
601,331315,"Aluminum Sheet, Plate, and Foil Mfg."
602,331513,Steel Foundries (Except Investment)
603,331513,Steel Foundries (Except Investment)
604,811490,Other Personal and Household Goods Repair and Maintenance
605,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
606,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
607,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
608,332812,"Metal Coating, Engraving (Except Jewelry and Silverware), and Allied Services to Manufacturers"
609,332812,"Metal Coating, Engraving (Except Jewelry and Silverware), and Allied Services to Manufacturers"
610,339910,Jewelry and Silverware Mfg.
611,332999,All Other Misc. Fabricated Metal Product Mfg.
612,339910,Jewelry and Silverware Mfg.
613,339992,Musical Instrument Mfg.
614,339910,Jewelry and Silverware Mfg.
615,334519,Other Measuring and Controlling Device Mfg.
616,334519,Other Measuring and Controlling Device Mfg.
617,334519,Other Measuring and Controlling Device Mfg.
618,336340,Motor Vehicle Brake System Mfg.
619,332439,Other Metal Container Mfg.
